Ranking,Region,Pet Ownership Rate
1,Wyoming,71.8
2,West Virginia,71
3,Vermont,70
3,Idaho,70
5,Indiana,69.2
6,Arkansas,69
7,Mississippi,65.5
8,Oklahoma,65
9,Kentucky,64.1
10,North Dakota,63.7
11,Missouri,63.5
11,Maine,63.5
13,Washington,63
14,Kansas,62.8
15,Ohio,62.4
15,Michigan,62.4
17,South Carolina,62
17,Montana,62
19,Tennessee,61.7
20,Pennsylvania,60.6
21,New Mexico,60
22,Alabama,59.8
23,Oregon,59.2
24,Iowa,59
24,North Carolina,59
24,Wisconsin,59
27,Utah,58.5
28,Texas,58.2
29,Arizona,58
30,Delaware,57.9
31,Florida,56
32,Virginia,55.5
33,Minnesota,54
33,Louisiana,54
35,Nevada,53
36,New Hampshire,52
37,Nebraska,51.3
38,Georgia,51
39,New York,50
39,Connecticut,50
41,Massachusetts,49
42,Maryland,48.6
42,Illinois,48.6
44,New Jersey,47.4
45,Colorado,47.2
46,South Dakota,46
47,Rhode Island,45.4
48,California,40.1
